FID,gid,name,state_name,amch4t
biogas_methane_pot_animal_manure.1534,1534,Laclede,Missouri,1095.13045
biogas_methane_pot_animal_manure.1536,1536,Lawrence,Missouri,1284.70604
biogas_methane_pot_animal_manure.1544,1544,Maries,Missouri,801.712283
biogas_methane_pot_animal_manure.1567,1567,Putnam,Missouri,24.4599513
biogas_methane_pot_animal_manure.1581,1581,Scott,Missouri,142.437898
biogas_methane_pot_animal_manure.1582,1582,Shannon,Missouri,1.78741613
biogas_methane_pot_animal_manure.596,596,Bond,Illinois,237.317386
biogas_methane_pot_animal_manure.598,598,Brown,Illinois,510.576438
biogas_methane_pot_animal_manure.600,600,Calhoun,Illinois,131.603257
biogas_methane_pot_animal_manure.602,602,Cass,Illinois,1473.41094
biogas_methane_pot_animal_manure.604,604,Christian,Illinois,605.900126
biogas_methane_pot_animal_manure.627,627,Hancock,Illinois,2870.18778
biogas_methane_pot_animal_manure.641,641,Knox,Illinois,2331.2436
biogas_methane_pot_animal_manure.624,624,Greene,Illinois,0.00921642
biogas_methane_pot_animal_manure.653,653,Madison,Illinois,319.527386
biogas_methane_pot_animal_manure.660,660,Monroe,Illinois,659.065661
biogas_methane_pot_animal_manure.662,662,Morgan,Illinois,710.139234
biogas_methane_pot_animal_manure.672,672,Randolph,Illinois,218.815806
biogas_methane_pot_animal_manure.675,675,St. Clair,Illinois,584.143501
biogas_methane_pot_animal_manure.655,655,Marshall,Illinois,149.815232
biogas_methane_pot_animal_manure.658,658,Menard,Illinois,263.819803
biogas_methane_pot_animal_manure.665,665,Peoria,Illinois,374.541869
biogas_methane_pot_animal_manure.678,678,Schuyler,Illinois,827.272267
biogas_methane_pot_animal_manure.679,679,Scott,Illinois,217.629629
biogas_methane_pot_animal_manure.684,684,Union,Illinois,63.6578284
biogas_methane_pot_animal_manure.688,688,Washington,Illinois,1252.81736
biogas_methane_pot_animal_manure.789,789,Adams,Iowa,474.095014
biogas_methane_pot_animal_manure.791,791,Appanoose,Iowa,25.4371542
biogas_methane_pot_animal_manure.1497,1497,Cape Girardeau,Missouri,580.565367
biogas_methane_pot_animal_manure.1526,1526,Howard,Missouri,46.6214051
biogas_methane_pot_animal_manure.1532,1532,Johnson,Missouri,384.292727
biogas_methane_pot_animal_manure.1554,1554,Newton,Missouri,1459.43167
biogas_methane_pot_animal_manure.1562,1562,Phelps,Missouri,93.3386991
biogas_methane_pot_animal_manure.1564,1564,Platte,Missouri,0
biogas_methane_pot_animal_manure.1565,1565,Polk,Missouri,937.140633
biogas_methane_pot_animal_manure.807,807,Clarke,Iowa,3.72597126
biogas_methane_pot_animal_manure.813,813,Davis,Iowa,739.302414
biogas_methane_pot_animal_manure.843,843,Lee,Iowa,498.768635
biogas_methane_pot_animal_manure.852,852,Mills,Iowa,12.5399467
biogas_methane_pot_animal_manure.874,874,Taylor,Iowa,685.548203
biogas_methane_pot_animal_manure.880,880,Wayne,Iowa,9.05112404
biogas_methane_pot_animal_manure.888,888,Anderson,Kansas,77.5321586
biogas_methane_pot_animal_manure.932,932,Johnson,Kansas,51.3115408
biogas_methane_pot_animal_manure.938,938,Leavenworth,Kansas,73.9113674
biogas_methane_pot_animal_manure.940,940,Linn,Kansas,47.9849538
biogas_methane_pot_animal_manure.945,945,Marshall,Kansas,186.583505
biogas_methane_pot_animal_manure.949,949,Montgomery,Kansas,578.453021
biogas_methane_pot_animal_manure.956,956,Osage,Kansas,25.1389941
biogas_methane_pot_animal_manure.961,961,Pottawatomie,Kansas,353.761078
biogas_methane_pot_animal_manure.967,967,Riley,Kansas,291.64759
biogas_methane_pot_animal_manure.985,985,Wabaunsee,Kansas,25.8052134
biogas_methane_pot_animal_manure.989,989,Wilson,Kansas,8.80922074
biogas_methane_pot_animal_manure.990,990,Woodson,Kansas,1.19042582
biogas_methane_pot_animal_manure.1484,1484,Atchison,Missouri,11.7458774
biogas_methane_pot_animal_manure.1485,1485,Audrain,Missouri,2417.36993
biogas_methane_pot_animal_manure.1487,1487,Barton,Missouri,2019.15345
biogas_methane_pot_animal_manure.1490,1490,Bollinger,Missouri,43.5193145
biogas_methane_pot_animal_manure.1496,1496,Camden,Missouri,442.704221
biogas_methane_pot_animal_manure.1499,1499,Carter,Missouri,69.9645742
biogas_methane_pot_animal_manure.1501,1501,Cedar,Missouri,917.773274
biogas_methane_pot_animal_manure.1505,1505,Clay,Missouri,60.5050176
biogas_methane_pot_animal_manure.1506,1506,Clinton,Missouri,133.574265
biogas_methane_pot_animal_manure.1508,1508,Cooper,Missouri,672.964941
biogas_methane_pot_animal_manure.1509,1509,Crawford,Missouri,11.4897938
biogas_methane_pot_animal_manure.1511,1511,Dallas,Missouri,601.808858
biogas_methane_pot_animal_manure.1513,1513,DeKalb,Missouri,191.573652
biogas_methane_pot_animal_manure.1521,1521,Grundy,Missouri,723.122684
biogas_methane_pot_animal_manure.1524,1524,Hickory,Missouri,217.922536
biogas_methane_pot_animal_manure.1528,1528,Iron,Missouri,9.27945472
biogas_methane_pot_animal_manure.1533,1533,Knox,Missouri,1137.99019
biogas_methane_pot_animal_manure.1537,1537,Lewis,Missouri,273.158
biogas_methane_pot_animal_manure.1543,1543,Madison,Missouri,3.24858729
biogas_methane_pot_animal_manure.1546,1546,Mercer,Missouri,0.01256784
biogas_methane_pot_animal_manure.1549,1549,Moniteau,Missouri,1117.21528
biogas_methane_pot_animal_manure.1551,1551,Montgomery,Missouri,389.839013
biogas_methane_pot_animal_manure.1557,1557,Osage,Missouri,1692.15564
biogas_methane_pot_animal_manure.1571,1571,Reynolds,Missouri,2.35903423
biogas_methane_pot_animal_manure.1574,1574,St. Clair,Missouri,180.444001
biogas_methane_pot_animal_manure.1575,1575,Ste. Genevieve,Missouri,364.988333
biogas_methane_pot_animal_manure.1577,1577,St. Louis,Missouri,0
biogas_methane_pot_animal_manure.1583,1583,Shelby,Missouri,1837.27227
biogas_methane_pot_animal_manure.1586,1586,Sullivan,Missouri,11144.1842
biogas_methane_pot_animal_manure.1588,1588,Texas,Missouri,924.715359
biogas_methane_pot_animal_manure.1589,1589,Vernon,Missouri,10806.5133
biogas_methane_pot_animal_manure.1592,1592,Wayne,Missouri,21.3851573
biogas_methane_pot_animal_manure.1716,1716,Nemaha,Nebraska,308.708474
biogas_methane_pot_animal_manure.2147,2147,Craig,Oklahoma,218.307643
biogas_methane_pot_animal_manure.2182,2182,Nowata,Oklahoma,1.3678877
biogas_methane_pot_animal_manure.2187,2187,Ottawa,Oklahoma,246.763873
biogas_methane_pot_animal_manure.2927,2927,Fredericksburg,Virginia,0
biogas_methane_pot_animal_manure.2951,2951,Williamsburg,Virginia,0
biogas_methane_pot_animal_manure.2993,2993,Berkeley,West Virginia,48.1695116
biogas_methane_pot_animal_manure.315,315,Kent,Delaware,794.312366
biogas_methane_pot_animal_manure.316,316,New Castle,Delaware,25.2687528
biogas_methane_pot_animal_manure.317,317,Sussex,Delaware,3885.63664
biogas_methane_pot_animal_manure.318,318,District of Columbia,District of Columbia,0
biogas_methane_pot_animal_manure.1193,1193,Anne Arundel,Maryland,0.75778694
biogas_methane_pot_animal_manure.1194,1194,Baltimore,Maryland,75.0985709
biogas_methane_pot_animal_manure.1195,1195,Calvert,Maryland,0.82718691
biogas_methane_pot_animal_manure.1196,1196,Caroline,Maryland,941.596498
biogas_methane_pot_animal_manure.1197,1197,Carroll,Maryland,309.81297
biogas_methane_pot_animal_manure.1198,1198,Cecil,Maryland,240.396871
biogas_methane_pot_animal_manure.1199,1199,Charles,Maryland,22.4404086
biogas_methane_pot_animal_manure.1200,1200,Dorchester,Maryland,984.775025
biogas_methane_pot_animal_manure.1201,1201,Frederick,Maryland,782.071798
biogas_methane_pot_animal_manure.1203,1203,Harford,Maryland,107.698956
biogas_methane_pot_animal_manure.1204,1204,Howard,Maryland,26.4887781
biogas_methane_pot_animal_manure.1205,1205,Kent,Maryland,267.861289
biogas_methane_pot_animal_manure.1206,1206,Montgomery,Maryland,35.8115763
biogas_methane_pot_animal_manure.1207,1207,Prince George's,Maryland,0.09869946
biogas_methane_pot_animal_manure.1208,1208,Queen Anne's,Maryland,650.534007
biogas_methane_pot_animal_manure.1209,1209,St. Mary's,Maryland,57.8490996
biogas_methane_pot_animal_manure.1210,1210,Somerset,Maryland,1011.9529
biogas_methane_pot_animal_manure.1211,1211,Talbot,Maryland,165.996383
biogas_methane_pot_animal_manure.1212,1212,Washington,Maryland,738.047877
biogas_methane_pot_animal_manure.1213,1213,Wicomico,Maryland,887.319461
biogas_methane_pot_animal_manure.1214,1214,Worcester,Maryland,982.737266
biogas_methane_pot_animal_manure.1215,1215,Baltimore City,Maryland,0
biogas_methane_pot_animal_manure.1773,1773,Atlantic,New Jersey,1.65673377
biogas_methane_pot_animal_manure.1775,1775,Burlington,New Jersey,10.070812
biogas_methane_pot_animal_manure.1776,1776,Camden,New Jersey,0.00452442
biogas_methane_pot_animal_manure.1777,1777,Cape May,New Jersey,6.08896026
biogas_methane_pot_animal_manure.1778,1778,Cumberland,New Jersey,8.43321058
biogas_methane_pot_animal_manure.1780,1780,Gloucester,New Jersey,28.5055523
biogas_methane_pot_animal_manure.1783,1783,Mercer,New Jersey,4.74369374
biogas_methane_pot_animal_manure.1787,1787,Ocean,New Jersey,1.03957858
biogas_methane_pot_animal_manure.1789,1789,Salem,New Jersey,54.297455
biogas_methane_pot_animal_manure.2243,2243,Adams,Pennsylvania,141.146536
biogas_methane_pot_animal_manure.2293,2293,Philadelphia,Pennsylvania,0
biogas_methane_pot_animal_manure.2819,2819,Accomack,Virginia,618.485829
biogas_methane_pot_animal_manure.2822,2822,Amelia,Virginia,337.384514
biogas_methane_pot_animal_manure.2825,2825,Arlington,Virginia,0
biogas_methane_pot_animal_manure.2835,2835,Caroline,Virginia,2.49984255
biogas_methane_pot_animal_manure.2837,2837,Charles City,Virginia,0
biogas_methane_pot_animal_manure.2839,2839,Chesterfield,Virginia,10.6243309
biogas_methane_pot_animal_manure.2840,2840,Clarke,Virginia,116.029246
biogas_methane_pot_animal_manure.2842,2842,Culpeper,Virginia,151.474535
biogas_methane_pot_animal_manure.2846,2846,Essex,Virginia,9.52145914
biogas_methane_pot_animal_manure.2847,2847,Fairfax,Virginia,3.05127841
biogas_methane_pot_animal_manure.2848,2848,Fauquier,Virginia,256.053036
biogas_methane_pot_animal_manure.2854,2854,Gloucester,Virginia,2.16898104
biogas_methane_pot_animal_manure.2855,2855,Goochland,Virginia,59.4830835
biogas_methane_pot_animal_manure.2860,2860,Hanover,Virginia,84.9906534
biogas_methane_pot_animal_manure.2861,2861,Henrico,Virginia,0.64378265
biogas_methane_pot_animal_manure.2865,2865,James City,Virginia,20.9633578
biogas_methane_pot_animal_manure.2866,2866,King and Queen,Virginia,0
biogas_methane_pot_animal_manure.2867,2867,King George,Virginia,0
biogas_methane_pot_animal_manure.2868,2868,King William,Virginia,46.0999956
biogas_methane_pot_animal_manure.2869,2869,Lancaster,Virginia,0
biogas_methane_pot_animal_manure.2871,2871,Loudoun,Virginia,17.8655176
biogas_methane_pot_animal_manure.2872,2872,Louisa,Virginia,39.8348068
biogas_methane_pot_animal_manure.2875,2875,Mathews,Virginia,0
biogas_methane_pot_animal_manure.2877,2877,Middlesex,Virginia,0
biogas_methane_pot_animal_manure.2880,2880,New Kent,Virginia,1.21856493
biogas_methane_pot_animal_manure.2881,2881,Northampton,Virginia,0
biogas_methane_pot_animal_manure.2882,2882,Northumberland,Virginia,0
biogas_methane_pot_animal_manure.2884,2884,Orange,Virginia,58.5297431
biogas_methane_pot_animal_manure.2888,2888,Powhatan,Virginia,18.6347595
biogas_methane_pot_animal_manure.2890,2890,Prince George,Virginia,10.5875685
biogas_methane_pot_animal_manure.2891,2891,Prince William,Virginia,51.0084813
biogas_methane_pot_animal_manure.2893,2893,Rappahannock,Virginia,3.01246037
biogas_methane_pot_animal_manure.2894,2894,Richmond,Virginia,1.65430757
biogas_methane_pot_animal_manure.2903,2903,Spotsylvania,Virginia,47.3695536
biogas_methane_pot_animal_manure.2904,2904,Stafford,Virginia,0.7720102
biogas_methane_pot_animal_manure.2908,2908,Warren,Virginia,4.2832593
biogas_methane_pot_animal_manure.2910,2910,Westmoreland,Virginia,0
biogas_methane_pot_animal_manure.2913,2913,York,Virginia,0
biogas_methane_pot_animal_manure.2914,2914,Alexandria,Virginia,0
biogas_methane_pot_animal_manure.2920,2920,Colonial Heights,Virginia,0
biogas_methane_pot_animal_manure.2925,2925,Falls Church,Virginia,0
biogas_methane_pot_animal_manure.2257,2257,Chester,Pennsylvania,162.186371
biogas_methane_pot_animal_manure.2263,2263,Cumberland,Pennsylvania,167.209944
biogas_methane_pot_animal_manure.2265,2265,Delaware,Pennsylvania,0
biogas_methane_pot_animal_manure.2270,2270,Franklin,Pennsylvania,654.784116
biogas_methane_pot_animal_manure.2271,2271,Fulton,Pennsylvania,164.355426
biogas_methane_pot_animal_manure.2278,2278,Lancaster,Pennsylvania,3026.45817
biogas_methane_pot_animal_manure.2288,2288,Montgomery,Pennsylvania,44.5833648
biogas_methane_pot_animal_manure.2309,2309,York,Pennsylvania,271.013036
biogas_methane_pot_animal_manure.2924,2924,Fairfax City,Virginia,0
biogas_methane_pot_animal_manure.2935,2935,Manassas Park,Virginia,0
biogas_methane_pot_animal_manure.2931,2931,Hopewell,Virginia,0
biogas_methane_pot_animal_manure.2934,2934,Manassas,Virginia,0
biogas_methane_pot_animal_manure.3010,3010,Jefferson,West Virginia,107.719541
biogas_methane_pot_animal_manure.2944,2944,Richmond City,Virginia,0
biogas_methane_pot_animal_manure.2952,2952,Winchester,Virginia,0
biogas_methane_pot_animal_manure.3008,3008,Harrison,West Virginia,1.19661466
biogas_methane_pot_animal_manure.2992,2992,Barbour,West Virginia,22.3852706
biogas_methane_pot_animal_manure.1192,1192,Allegany,Maryland,1.94208815
biogas_methane_pot_animal_manure.1202,1202,Garrett,Maryland,189.125316
biogas_methane_pot_animal_manure.2247,2247,Bedford,Pennsylvania,124.737268
biogas_methane_pot_animal_manure.2820,2820,Albemarle,Virginia,20.5880861
biogas_methane_pot_animal_manure.2821,2821,Alleghany,Virginia,2.42631777
biogas_methane_pot_animal_manure.2823,2823,Amherst,Virginia,5.41715233
biogas_methane_pot_animal_manure.2824,2824,Appomattox,Virginia,20.05681
biogas_methane_pot_animal_manure.2826,2826,Augusta,Virginia,709.521823
biogas_methane_pot_animal_manure.2827,2827,Bath,Virginia,2.13221865
biogas_methane_pot_animal_manure.2828,2828,Bedford,Virginia,141.029738
biogas_methane_pot_animal_manure.2830,2830,Botetourt,Virginia,88.2141335
biogas_methane_pot_animal_manure.2833,2833,Buckingham,Virginia,1074.71823
biogas_methane_pot_animal_manure.2834,2834,Campbell,Virginia,62.3524566
biogas_methane_pot_animal_manure.2841,2841,Craig,Virginia,24.3941725
biogas_methane_pot_animal_manure.2843,2843,Cumberland,Virginia,262.716078
biogas_methane_pot_animal_manure.2850,2850,Fluvanna,Virginia,2.94099124
biogas_methane_pot_animal_manure.2852,2852,Frederick,Virginia,25.881701
biogas_methane_pot_animal_manure.2857,2857,Greene,Virginia,2.09612654
biogas_methane_pot_animal_manure.2863,2863,Highland,Virginia,1.10287171
biogas_methane_pot_animal_manure.2874,2874,Madison,Virginia,112.189963
biogas_methane_pot_animal_manure.2879,2879,Nelson,Virginia,0
biogas_methane_pot_animal_manure.2885,2885,Page,Virginia,659.773719
biogas_methane_pot_animal_manure.2889,2889,Prince Edward,Virginia,439.700093
biogas_methane_pot_animal_manure.2895,2895,Roanoke,Virginia,2.240886
biogas_methane_pot_animal_manure.2896,2896,Rockbridge,Virginia,72.8918015
biogas_methane_pot_animal_manure.2897,2897,Rockingham,Virginia,2627.3989
biogas_methane_pot_animal_manure.2900,2900,Shenandoah,Virginia,566.949593
biogas_methane_pot_animal_manure.2915,2915,Bedford City,Virginia,0
biogas_methane_pot_animal_manure.2917,2917,Buena Vista,Virginia,0
biogas_methane_pot_animal_manure.2918,2918,Charlottesville,Virginia,0
biogas_methane_pot_animal_manure.2268,2268,Fayette,Pennsylvania,29.4283874
biogas_methane_pot_animal_manure.2272,2272,Greene,Pennsylvania,2.10979949
biogas_methane_pot_animal_manure.2298,2298,Somerset,Pennsylvania,56.863048
biogas_methane_pot_animal_manure.2305,2305,Washington,Pennsylvania,6.50616207
biogas_methane_pot_animal_manure.2930,2930,Harrisonburg,Virginia,0
biogas_methane_pot_animal_manure.2932,2932,Lexington,Virginia,0
biogas_methane_pot_animal_manure.2933,2933,Lynchburg,Virginia,0
biogas_methane_pot_animal_manure.3016,3016,Marion,West Virginia,1.19471356
biogas_methane_pot_animal_manure.3020,3020,Mineral,West Virginia,81.2957623
biogas_methane_pot_animal_manure.3022,3022,Monongalia,West Virginia,3.10737142
biogas_methane_pot_animal_manure.3024,3024,Morgan,West Virginia,0.4670038
biogas_methane_pot_animal_manure.3029,3029,Pocahontas,West Virginia,2.85934304
biogas_methane_pot_animal_manure.3030,3030,Preston,West Virginia,63.8650485
biogas_methane_pot_animal_manure.2945,2945,Roanoke City,Virginia,0
biogas_methane_pot_animal_manure.2946,2946,Salem,Virginia,0
biogas_methane_pot_animal_manure.3033,3033,Randolph,West Virginia,2.15540214
biogas_methane_pot_animal_manure.3037,3037,Taylor,West Virginia,9.83787984
biogas_methane_pot_animal_manure.3038,3038,Tucker,West Virginia,3.05247003
biogas_methane_pot_animal_manure.3040,3040,Upshur,West Virginia,2.35534991
biogas_methane_pot_animal_manure.2947,2947,Staunton,Virginia,0
biogas_methane_pot_animal_manure.2950,2950,Waynesboro,Virginia,0
biogas_methane_pot_animal_manure.3003,3003,Grant,West Virginia,204.595546
biogas_methane_pot_animal_manure.3005,3005,Hampshire,West Virginia,81.1162866
biogas_methane_pot_animal_manure.3007,3007,Hardy,West Virginia,484.315849
biogas_methane_pot_animal_manure.3027,3027,Pendleton,West Virginia,245.233883
biogas_methane_pot_animal_manure.997,997,Bath,Kentucky,65.5129143
biogas_methane_pot_animal_manure.998,998,Bell,Kentucky,1.03554811
biogas_methane_pot_animal_manure.2068,2068,Gallia,Ohio,35.600637
biogas_methane_pot_animal_manure.2085,2085,Lawrence,Ohio,13.1299907
biogas_methane_pot_animal_manure.2094,2094,Meigs,Ohio,96.3870301
biogas_methane_pot_animal_manure.2994,2994,Boone,West Virginia,0
biogas_methane_pot_animal_manure.2995,2995,Braxton,West Virginia,2.96442928
biogas_methane_pot_animal_manure.1000,1000,Bourbon,Kentucky,20.0148867
biogas_methane_pot_animal_manure.1001,1001,Boyd,Kentucky,1.71093018
biogas_methane_pot_animal_manure.1003,1003,Bracken,Kentucky,64.1809561
biogas_methane_pot_animal_manure.1004,1004,Breathitt,Kentucky,2.782546
biogas_methane_pot_animal_manure.1039,1039,Harlan,Kentucky,0
biogas_methane_pot_animal_manure.1040,1040,Harrison,Kentucky,24.1735989
biogas_methane_pot_animal_manure.1046,1046,Jackson,Kentucky,52.7897699
biogas_methane_pot_animal_manure.1049,1049,Johnson,Kentucky,0.70519066
biogas_methane_pot_animal_manure.1051,1051,Knott,Kentucky,0.00301628
biogas_methane_pot_animal_manure.1052,1052,Knox,Kentucky,7.04989445
biogas_methane_pot_animal_manure.1054,1054,Laurel,Kentucky,126.980749
biogas_methane_pot_animal_manure.1055,1055,Lawrence,Kentucky,3.85758047
biogas_methane_pot_animal_manure.1056,1056,Lee,Kentucky,2.11205299
biogas_methane_pot_animal_manure.1057,1057,Leslie,Kentucky,0
biogas_methane_pot_animal_manure.1058,1058,Letcher,Kentucky,0.80459161
biogas_methane_pot_animal_manure.1059,1059,Lewis,Kentucky,44.3311217
biogas_methane_pot_animal_manure.1082,1082,Nicholas,Kentucky,16.3780218
biogas_methane_pot_animal_manure.1086,1086,Owsley,Kentucky,1.24265773
biogas_methane_pot_animal_manure.1087,1087,Pendleton,Kentucky,30.4883263
biogas_methane_pot_animal_manure.1088,1088,Perry,Kentucky,3.20272696
biogas_methane_pot_animal_manure.1089,1089,Pike,Kentucky,0
biogas_methane_pot_animal_manure.1090,1090,Powell,Kentucky,0.95858622
biogas_methane_pot_animal_manure.1092,1092,Robertson,Kentucky,26.9396673
biogas_methane_pot_animal_manure.1093,1093,Rockcastle,Kentucky,62.0295783
biogas_methane_pot_animal_manure.1094,1094,Rowan,Kentucky,13.1312901
biogas_methane_pot_animal_manure.2107,2107,Pike,Ohio,34.6639111
biogas_methane_pot_animal_manure.1013,1013,Carter,Kentucky,14.4392616
biogas_methane_pot_animal_manure.1016,1016,Clark,Kentucky,15.7403312
biogas_methane_pot_animal_manure.1017,1017,Clay,Kentucky,0
biogas_methane_pot_animal_manure.1023,1023,Elliott,Kentucky,4.57576723
biogas_methane_pot_animal_manure.1024,1024,Estill,Kentucky,65.339544
biogas_methane_pot_animal_manure.1026,1026,Fleming,Kentucky,382.686919
biogas_methane_pot_animal_manure.1027,1027,Floyd,Kentucky,0.50286976
biogas_methane_pot_animal_manure.1036,1036,Greenup,Kentucky,9.72587759
biogas_methane_pot_animal_manure.1067,1067,Madison,Kentucky,48.1147968
biogas_methane_pot_animal_manure.1068,1068,Magoffin,Kentucky,7.09460733
biogas_methane_pot_animal_manure.1071,1071,Martin,Kentucky,0
biogas_methane_pot_animal_manure.1072,1072,Mason,Kentucky,234.337719
biogas_methane_pot_animal_manure.1074,1074,Menifee,Kentucky,6.34142552
biogas_methane_pot_animal_manure.1078,1078,Montgomery,Kentucky,11.1274567
biogas_methane_pot_animal_manure.1079,1079,Morgan,Kentucky,9.44519525
biogas_methane_pot_animal_manure.1109,1109,Whitley,Kentucky,16.6946612
biogas_methane_pot_animal_manure.1110,1110,Wolfe,Kentucky,8.01092108
biogas_methane_pot_animal_manure.2829,2829,Bland,Virginia,43.9110989
biogas_methane_pot_animal_manure.2832,2832,Buchanan,Virginia,0
biogas_methane_pot_animal_manure.2844,2844,Dickenson,Virginia,2.50498887
biogas_methane_pot_animal_manure.2853,2853,Giles,Virginia,7.3624432
biogas_methane_pot_animal_manure.2856,2856,Grayson,Virginia,107.132246
biogas_methane_pot_animal_manure.2878,2878,Montgomery,Virginia,99.1278859
